Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
9.81,0,-3.58098622,-7.161972439,0.978571429,0,-0.11122449,-114.25,-11.1875,21.6875
9.88,-10.74295866,0,14.32394488,0.982653061,-0.01122449,-0.098979592,-114.25,-9.375,22
9.94,-7.161972439,-21.48591732,10.74295866,0.982653061,-0.013265306,-0.103061224,-114.25,-9.375,22
10.00,-10.74295866,-7.161972439,3.58098622,0.982653061,-0.015306122,-0.103061224,-113.5625,-10.875,22.75
10.06,-14.32394488,-7.161972439,-3.58098622,0.982653061,-0.013265306,-0.105102041,-115.3125,-9.0625,21.3125
10.13,-10.74295866,-3.58098622,0,0.980612245,-0.013265306,-0.107142857,-115.3125,-9.0625,21.3125
10.19,-7.161972439,-25.06690354,-7.161972439,0.980612245,-0.013265306,-0.11122449,-113.1875,-9.75,21.6875
10.25,-7.161972439,3.58098622,7.161972439,0.980612245,-0.013265306,-0.105102041,-113.875,-10.5,21.6875
10.31,-25.06690354,-10.74295866,0,0.984693878,-0.017346939,-0.098979592,-113.875,-10.5,21.6875
10.38,3.58098622,-21.48591732,-10.74295866,0.982653061,-0.01122449,-0.101020408,-115.3125,-10.875,21.3125
10.44,-32.22887598,-14.32394488,-3.58098622,0.982653061,-0.009183673,-0.098979592,-115.3125,-11.5625,22.375
10.50,-10.74295866,-21.48591732,-7.161972439,0.982653061,-0.007142857,-0.107142857,-115.3125,-11.5625,22.375
10.56,-21.48591732,-32.22887598,3.58098622,0.980612245,-0.019387755,-0.109183673,-115,-11.5625,21.3125
10.63,-17.9049311,-7.161972439,-3.58098622,0.982653061,-0.015306122,-0.109183673,-114.25,-11.5625,21.3125
10.69,-21.48591732,-7.161972439,-3.58098622,0.980612245,-0.015306122,-0.109183673,-114.25,-11.5625,21.3125
10.75,-25.06690354,7.161972439,-3.58098622,0.982653061,-0.01122449,-0.109183673,-113.5625,-11.5625,21.6875
10.81,-14.32394488,-25.06690354,0,0.982653061,-0.013265306,-0.101020408,-114.625,-9.0625,21.6875
10.88,-21.48591732,0,3.58098622,0.982653061,-0.013265306,-0.105102041,-114.625,-9.0625,21.6875
10.94,-3.58098622,-17.9049311,7.161972439,0.982653061,-0.015306122,-0.103061224,-114.625,-11.5625,21.6875
11.00,-14.32394488,-21.48591732,3.58098622,0.980612245,-0.019387755,-0.105102041,-115,-11.9375,24.5
11.06,-32.22887598,-17.9049311,-7.161972439,0.980612245,-0.024489796,-0.105102041,-115,-11.9375,24.5
11.13,-21.48591732,-17.9049311,-10.74295866,0.980612245,-0.013265306,-0.103061224,-114.625,-10.875,22.375
11.19,-14.32394488,-17.9049311,-7.161972439,0.980612245,-0.007142857,-0.103061224,-112.8125,-9.0625,21.6875
11.25,-28.64788976,-10.74295866,3.58098622,0.982653061,-0.003061224,-0.109183673,-112.8125,-9.0625,21.6875
11.31,14.32394488,-7.161972439,3.58098622,0.982653061,-0.01122449,-0.105102041,-113.5625,-10.875,22
11.38,-32.22887598,-3.58098622,10.74295866,0.980612245,-0.009183673,-0.113265306,-113.875,-11.1875,21.6875
11.44,25.06690354,0,0,0.982653061,-0.013265306,-0.107142857,-113.875,-11.1875,21.6875
11.50,-39.39084842,14.32394488,14.32394488,0.980612245,-0.017346939,-0.101020408,-115.6875,-11.5625,21.6875
11.56,14.32394488,-7.161972439,-3.58098622,0.982653061,-0.021428571,-0.101020408,-114.25,-9.375,20.9375
11.63,-21.48591732,-28.64788976,-7.161972439,0.982653061,-0.019387755,-0.094897959,-114.25,-9.375,20.9375
11.69,-28.64788976,-25.06690354,-10.74295866,0.982653061,-0.013265306,-0.101020408,-113.875,-10.5,22.75
11.75,-28.64788976,-21.48591732,-7.161972439,0.982653061,-0.013265306,-0.103061224,-113.875,-10.5,22.75
